Year	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
2011	5.00E-04	0.002	0.005	0.013	0.024	0.097358612	0.140841299	0.188061133	0.2370818	0.286318101	0.334546368	0.380873951	0.424691209	0.465619178	0.503459877	0.538152481	0.569736487	0.598321802	0.624065127	0.757356556
2012	5.00E-04	0.002	0.005	0.013	0.024	0.097358612	0.140841299	0.188061133	0.2370818	0.286318101	0.334546368	0.380873951	0.424691209	0.465619178	0.503459877	0.538152481	0.569736487	0.598321802	0.624065127	0.757356556
2013	5.00E-04	0.002	0.005	0.013	0.024	0.097358612	0.140841299	0.188061133	0.2370818	0.286318101	0.334546368	0.380873951	0.424691209	0.465619178	0.503459877	0.538152481	0.569736487	0.598321802	0.624065127	0.757356556
2014	5.00E-04	0.002	0.005	0.013	0.024	0.097358612	0.140841299	0.188061133	0.2370818	0.286318101	0.334546368	0.380873951	0.424691209	0.465619178	0.503459877	0.538152481	0.569736487	0.598321802	0.624065127	0.757356556
2015	5.00E-04	0.002	0.005	0.013	0.024	0.097358612	0.140841299	0.188061133	0.2370818	0.286318101	0.334546368	0.380873951	0.424691209	0.465619178	0.503459877	0.538152481	0.569736487	0.598321802	0.624065127	0.757356556
2016	5.00E-04	0.002	0.005	0.013	0.024	0.097358612	0.140841299	0.188061133	0.2370818	0.286318101	0.334546368	0.380873951	0.424691209	0.465619178	0.503459877	0.538152481	0.569736487	0.598321802	0.624065127	0.757356556
2017	5.00E-04	0.002	0.005	0.013	0.024	0.097358612	0.140841299	0.188061133	0.2370818	0.286318101	0.334546368	0.380873951	0.424691209	0.465619178	0.503459877	0.538152481	0.569736487	0.598321802	0.624065127	0.757356556
2018	5.00E-04	0.002	0.005	0.013	0.024	0.097358612	0.140841299	0.188061133	0.2370818	0.286318101	0.334546368	0.380873951	0.424691209	0.465619178	0.503459877	0.538152481	0.569736487	0.598321802	0.624065127	0.757356556
2019	5.00E-04	0.002	0.005	0.013	0.024	0.097358612	0.140841299	0.188061133	0.2370818	0.286318101	0.334546368	0.380873951	0.424691209	0.465619178	0.503459877	0.538152481	0.569736487	0.598321802	0.624065127	0.757356556
2020	5.00E-04	0.002	0.005	0.013	0.024	0.097358612	0.140841299	0.188061133	0.2370818	0.286318101	0.334546368	0.380873951	0.424691209	0.465619178	0.503459877	0.538152481	0.569736487	0.598321802	0.624065127	0.757356556
2021	5.00E-04	0.002	0.005	0.013	0.024	0.097358612	0.140841299	0.188061133	0.2370818	0.286318101	0.334546368	0.380873951	0.424691209	0.465619178	0.503459877	0.538152481	0.569736487	0.598321802	0.624065127	0.757356556
2022	5.00E-04	0.002	0.005	0.013	0.024	0.097358612	0.140841299	0.188061133	0.2370818	0.286318101	0.334546368	0.380873951	0.424691209	0.465619178	0.503459877	0.538152481	0.569736487	0.598321802	0.624065127	0.757356556
2023	5.00E-04	0.002	0.005	0.013	0.024	0.097358612	0.140841299	0.188061133	0.2370818	0.286318101	0.334546368	0.380873951	0.424691209	0.465619178	0.503459877	0.538152481	0.569736487	0.598321802	0.624065127	0.757356556
